id,analog_ids,analog_dates,dists
321,18585,2015-11-20,1.9945271282648935
322,10180,1992-11-15,2.7640786190856814
323,20053,2019-11-27,2.9571477604439904
324,7996,1986-11-23,2.097193133279786
325,18950,2016-11-19,1.8886948827254129
326,18951,2016-11-20,2.4642520099673546
327,13108,2000-11-21,2.2496072676224803
328,17496,2012-11-26,2.2318535210816663
329,17496,2012-11-26,1.9401221804835658
330,14203,2003-11-21,2.5588161064094597
331,17496,2012-11-26,2.6642434924648617
332,13842,2002-11-25,2.384236388567084
333,16760,2010-11-21,2.7661247780484977
334,16758,2010-11-19,2.695781600304114
335,14203,2003-11-21,2.174758945036276
336,6175,1981-11-28,2.69590862732848
337,10184,1992-11-19,2.3382746939685055
338,5463,1979-12-17,1.9717632214175589
339,3984,1975-11-29,2.14565901868158
340,15683,2007-12-10,2.5165340805973746
341,5833,1980-12-21,2.750766405285822
342,9475,1990-12-11,2.5049043145921503
343,5078,1978-11-27,2.831043483806413
344,6565,1982-12-23,2.420608989956864
345,17864,2013-11-29,2.3624907662875207
346,3282,1973-12-27,2.2755599175549928
347,3626,1974-12-06,1.9728260555178112
348,10208,1992-12-13,2.2109576266141313
349,12781,1999-12-30,2.326782003076061
350,714,1966-12-16,2.355128587041442
351,12409,1998-12-23,2.488885198621213
352,18973,2016-12-12,2.34372160550187
353,13866,2002-12-19,3.45010904594397
354,4733,1977-12-17,2.4381518051941335
355,14229,2003-12-17,2.596665068331346
356,14966,2005-12-23,2.2583904253743348
357,2178,1970-12-19,1.9483875335811214
358,3285,1973-12-30,2.3513755504229237
359,12786,2000-01-04,2.6475639518655862
360,12049,1997-12-28,3.6565803400566934
361,12789,2000-01-07,2.56652707770687
362,2543,1971-12-19,2.93147129291087
363,15714,2008-01-10,2.7844772137680778
364,17896,2013-12-31,2.4972507315953734
